index,card,part,prop,body,attack,defend,cost,attackType,effect
1,vegetalBite,serious,plant,mouth,30,30,1,melee,Steal 1 energy from your opponent when comboed with another card.
2,carrotHammer,carrot,plant,tail,80,40,1,melee,Gain 1 energy if this Axie's shield breaks. Can only trigger once per round.
3,aquaStock,wateringCan,plant,back,45,80,1,ranged,Gain 1 energy if this Axie is struck by an Aquatic card.
4,ivoryStab,imp,beast,horn,90,30,1,melee,Gain 1 energy per critical strike dealt by your team this round
5,piercingSound,goda,beast,mouth,80,40,1,ranged,Destroy 1 of your opponent's energy.
6,lunaAbsorb,cottontail,beast,tail,0,30,0,ranged,Gain 1 energy.
7,nightSteal,rice,beast,tail,90,20,1,melee,Steal 1 energy from your opponent when comboed with another card.
8,tailSlap,nimo,aquatic,tail,20,0,0,melee,Gain 1 energy when comboed with another card.
9,scaleDart,blueMoon,aquatic,back,120,30,1,ranged,Draw a card if target is in Last Stand.
10,kotaroBite,kotaro,reptile,mouth,85,30,1,melee,Gain 1 energy if target is faster than this Axie.
11,disguise,leafBug,bug,horn,20,20,0,melee,Gain 1 energy when comboed with a plant card.
12,bugSignal,antenna,bug,horn,80,50,1,ranged,"Steal energy from your opponent when chained with another ""Bug Signal"" card."
13,healingAroma,roseBud,plant,horn,0,50,1,support,Heal this Axie for 120 HP.
14,drainBite,zigzag,plant,mouth,55,55,1,melee,Heal this Axie by the damage this card inflicts.
15,veganDiet,herbivore,plant,mouth,75,75,1,melee,Heal this Axie by the damage this card inflicts on a Plant target.
16,shroomsGrace,shiitake,plant,back,0,40,1,support,Heal this Axie for 120 HP.
17,forestSpirit,silenceWhisper,plant,mouth,0,40,1,support,"Heal front teammate for 120 HP. If there are no teammates, heal this Axie Instead."
18,sweetParty,strawberryShortcake,plant,horn,0,40,2,support,"Heal front teammate for 270 HP. If there are no front teammates, heal this Axie"
19,aquaponics,anemone,aquatic,horn,70,30,1,ranged,Successful attacks restore 50 HP for each Anemone part this Axie posseses.
20,swallow,catfish,aquatic,mouth,90,30,1,melee,Heal this Axie by the damage inflicted with this card.
21,whySoSerious,razorBite,reptile,mouth,95,55,1,melee,Heal this Axie by damage inflicted with this card to Aquatic targets.
22,bloodTaste,mosquito,bug,mouth,80,40,1,melee,Heal this Axie by the damage inflicted with this card.
23,octoberTreat,pumpkin,plant,back,0,110,1,melee,Draw a card if this Axie's shield doesn't break this round.
24,cattailSlap,cattail,plant,tail,20,30,0,melee,"Draw a card if struck by a Beast, Bug, or Mech card."
25,spicySurprise,hotButt,plant,tail,80,50,1,melee,Disable target's mouth cards next round.
26,leekLeak,hatsune,plant,tail,60,80,1,melee,"When hit, disable the attacker's ranged cards next round."
27,hareDagger,hare,beast,tail,115,20,1,ranged,Draw a card if this Axie attacks at the beginning of the round.
28,heroicReward,hero,beast,back,55,0,0,melee,"Draw a card when attacking an Aquatic, Bird, or Dawn target."
29,headshot,kestrel,bird,horn,130,0,1,ranged,Disable target's horn cards next round.
30,ivoryChop,boneSail,reptile,back,70,70,1,melee,Draw a card if this Axie's shield breaks./ Fixed a bug where playing 2 bone sails and having shield broken only resulted in drawing one card.
